id;ident;type;name;latitude_deg;longitude_deg;elevation_ft;continent;iso_country;iso_region;municipality;scheduled_service;icao_code;iata_code;gps_code;local_code;home_link;wikipedia_link;keywords
3788;KPRB;medium_airport;Paso Robles Municipal Airport;3.567.290.115;-1.206.269.989;840;NA;US;US-CA;Paso Robles;no;KPRB;PRB;KPRB;PRB;http://www.prcity.com/government/departments/publicworks/airport/;https://en.wikipedia.org/wiki/Paso_Robles_Municipal_Airport;
3792;KPSP;medium_airport;Palm Springs International Airport;338.297;-116.507.004;477;NA;US;US-CA;Palm Springs;yes;KPSP;PSP;KPSP;PSP;http://www.palmspringsca.gov/index.aspx?page=270;https://en.wikipedia.org/wiki/Palm_Springs_International_Airport;Palm Springs Air Base
3793;KPTK;medium_airport;Oakland County International Airport;42.665.500.640.869;-83.420.097.351.074;980;NA;US;US-MI;Pontiac;no;KPTK;PTK;KPTK;PTK;https://www.oakgov.com/aviation/ocia;https://en.wikipedia.org/wiki/Oakland_County_International_Airport;Pontiac Municipal Airport, Oakland-Pontiac Airport
3795;KPVD;large_airport;Theodore Francis Green State Airport;41.725.038;-71.425.668;55;NA;US;US-RI;Warwick;yes;KPVD;PVD;KPVD;PVD;https://flyri.com/;https://en.wikipedia.org/wiki/T._F._Green_Airport;
3837;KRAL;medium_airport;Riverside Municipal Airport;339.519;-117.445;819;NA;US;US-CA;Riverside;no;KRAL;RAL;KRAL;RAL;http://www.riversideca.gov/airport/;https://en.wikipedia.org/wiki/Riverside_Municipal_Airport;Riverside Arlington
3840;KRCA;medium_airport;Ellsworth Air Force Base;4.414.500.046;-1.031.039.963;3276;NA;US;US-SD;Rapid City;no;KRCA;RCA;KRCA;RCA;http://www.ellsworth.af.mil/;https://en.wikipedia.org/wiki/Ellsworth_Air_Force_Base;28th Bomb Wing
3843;KRDM;medium_airport;Roberts Field;44.254.101;-121.150.002;3080;NA;US;US-OR;Redmond;yes;KRDM;RDM;KRDM;RDM;;https://en.wikipedia.org/wiki/Roberts_Field;
20922;KRDR;medium_airport;Grand Forks Air Force Base;47.961.101.532;-974.011.993.408;913;NA;US;US-ND;Grand Forks;no;KRDR;RDR;KRDR;RDR;http://www.grandforks.af.mil/;https://en.wikipedia.org/wiki/Grand_Forks_Air_Force_Base;
3844;KRDU;large_airport;Raleigh Durham International Airport;35.877.602;-78.787.498;435;NA;US;US-NC;Raleigh/Durham;yes;KRDU;RDU;KRDU;RDU;https://www.rdu.com/;https://en.wikipedia.org/wiki/Raleigh-Durham_International_Airport;
3846;KRHI;medium_airport;Rhinelander Oneida County Airport;4.563.119.888.305.660;-8.946.749.877.929.680;1624;NA;US;US-WI;Rhinelander;yes;KRHI;RHI;KRHI;RHI;;https://en.wikipedia.org/wiki/Rhinelander-Oneida_County_Airport;
20931;KRIL;medium_airport;Garfield County Regional Airport;39.526.299;-107.726.997;5548;NA;US;US-CO;Rifle;no;KRIL;RIL;KRIL;RIL;http://www.rifleairport.com/;https://en.wikipedia.org/wiki/Garfield_County_Regional_Airport;Rifle Airport
3849;KRIV;medium_airport;March Air Reserve Base;33.880.699;-117.259.003;1536;NA;US;US-CA;Riverside;no;KRIV;RIV;KRIV;RIV;;https://en.wikipedia.org/wiki/March_Air_Reserve_Base;
20933;KRIW;medium_airport;Central Wyoming Regional Airport;43.064.201;-108.459.999;5525;NA;US;US-WY;Riverton;yes;KRIW;RIW;KRIW;RIW;https://centralwyomingairport.com/;https://en.wikipedia.org/wiki/Central_Wyoming_Regional_Airport;
20935;KRKD;medium_airport;Knox County Regional Airport;44.060.101;-69.099.197;56;NA;US;US-ME;Rockland;yes;KRKD;RKD;KRKD;RKD;;https://en.wikipedia.org/wiki/Knox_County_Regional_Airport;
20940;KRME;medium_airport;Griffiss International Airport;4.323.379.898;-7.540.699.768;504;NA;US;US-NY;Rome;no;KRME;RME;KRME;RME;http://www.ocgov.net/oneida/airport;https://en.wikipedia.org/wiki/Griffiss_Airfield;
3851;KRMG;medium_airport;Richard B Russell Airport;343.506.011.963;-8.515.799.713.130.000;644;NA;US;US-GA;Rome;no;KRMG;RMG;KRMG;RMG;http://www.romefloyd.com/EconomicDevelopment/Airport/tabid/306/Default.aspx;https://en.wikipedia.org/wiki/Richard_B._Russell_Airport;Towers Field
3852;KRND;medium_airport;Randolph Air Force Base;29.529.699;-982.789;761;NA;US;US-TX;Universal City;no;KRND;RND;KRND;RND;http://www.military.com/base-guide/randolph-air-force-base;https://en.wikipedia.org/wiki/Randolph_Air_Force_Base;
