"id","ident","type","name","latitude_deg","longitude_deg","elevation_ft","continent","iso_country","iso_region","municipality","scheduled_service","icao_code","iata_code","gps_code","local_code","home_link","wikipedia_link","keywords"
4736,"MMOX","medium_airport","XoxocotlÃ¡n International Airport","17,000814","-96,72197",4989,"NA","MX","MX-OAX","Oaxaca","yes","MMOX","OAX","MMOX",,"http://www.asur.com.mx/asur/ingles/aeropuertos/oaxaca/oaxaca.asp","https://en.wikipedia.org/wiki/Xoxocotl%C3%A1n_International_Airport","Aeropuerto Internacional XoxocotlÃ¡n"
4737,"MMPA","medium_airport","El TajÃ­n National Airport","20,60269928","-97,46080017",497,"NA","MX","MX-VER","Poza Rica","yes","MMPA","PAZ","MMPA",,,"https://en.wikipedia.org/wiki/El_Taj%C3%ADn_National_Airport",
4738,"MMPB","medium_airport","Hermanos SerdÃ¡n International Airport","19,158465","-98,371582",7361,"NA","MX","MX-PUE","Puebla","yes","MMPB","PBC","MMPB",,"http://www.aeropuertopuebla.com/","https://en.wikipedia.org/wiki/Hermanos_Serd%C3%A1n_International_Airport","Aeropuerto Internacional Hermanos SerdÃ¡n"
4741,"MMPG","medium_airport","Piedras Negras International Airport","28,627873","-100,53524",901,"NA","MX","MX-COA","Piedras Negras","yes","MMPG","PDS","MMPG","PNG",,"https://en.wikipedia.org/wiki/Piedras_Negras_International_Airport",
4742,"MMPN","medium_airport","Uruapan - Licenciado y General Ignacio Lopez Rayon International Airport","19,3967","-102,039001",5258,"NA","MX","MX-MIC","Uruapan","yes","MMPN","UPN","MMPN",,,"https://en.wikipedia.org/wiki/Uruapan_International_Airport",
4745,"MMPR","large_airport","Puerto Vallarta International Airport","20,679913","-105,254391",23,"NA","MX","MX-JAL","Puerto Vallarta","yes","MMPR","PVR","MMPR",,"https://thepuertovallartaairport.com/","https://en.wikipedia.org/wiki/Lic._Gustavo_D%C3%ADaz_Ordaz_International_Airport","Licenciado Gustavo DÃ­az Ordaz"
4746,"MMPS","medium_airport","Puerto Escondido International Airport","15,876808","-97,0891",294,"NA","MX","MX-OAX","Puerto Escondido","yes","MMPS","PXM","MMPS","P1M",,"https://en.wikipedia.org/wiki/Puerto_Escondido_International_Airport","Aeropuerto Internacional de Puerto Escondido"
4747,"MMQT","medium_airport","QuerÃ©taro Intercontinental Airport","20,6173","-100,185997",6296,"NA","MX","MX-QUE","QuerÃ©taro","yes","MMQT","QRO","MMQT","QET","http://www.aiq.com.mx/","https://en.wikipedia.org/wiki/Quer%C3%A9taro_International_Airport",
4748,"MMRX","medium_airport","General Lucio Blanco International Airport","26,0089","-98,2285",139,"NA","MX","MX-TAM","Reynosa","yes","MMRX","REX","MMRX","REI",,"https://en.wikipedia.org/wiki/General_Lucio_Blanco_International_Airport",
4750,"MMSD","large_airport","Los Cabos International Airport","23,151919","-109,720731",374,"NA","MX","MX-BCS","San JosÃ© del Cabo","yes","MMSD","SJD","MMSD",,"https://www.loscabosairport.com/","https://en.wikipedia.org/wiki/Los_Cabos_International_Airport",
31923,"MMSM","large_airport","General Felipe Ãngeles International Airport","19,7357","-99,0257",7369,"NA","MX","MX-MEX","Mexico City","yes","MMSM","NLU","MMSM","SLM","https://www.gob.mx/nuevoaeropuertofelipeangeles","https://en.wikipedia.org/wiki/Mexico_City_Santa_LucÃ­a_Airport","Santa Lucia AFB, Mexico City Santa LucÃ­a Airport, Zumpango, Aeropuerto Internacional General Felipe Ãngeles"
4752,"MMSP","medium_airport","Ponciano Arriaga International Airport","22,25429916","-100,9309998",6035,"NA","MX","MX-SLP","San Luis PotosÃ­","yes","MMSP","SLP","MMSP",,,"https://en.wikipedia.org/wiki/Ponciano_Arriaga_International_Airport","Estafeta"
4755,"MMTC","medium_airport","Francisco Sarabia Tinoco International Airport","25,5683","-103,411003",3688,"NA","MX","MX-COA","TorreÃ³n","yes","MMTC","TRC","MMTC",,,"https://en.wikipedia.org/wiki/Francisco_Sarabia_International_Airport",
43048,"MMTG","medium_airport","Angel Albino Corzo International Airport","16,56360054","-93,02249908",1499,"NA","MX","MX-CHP","Tuxtla GutiÃ©rrez","yes","MMTG","TGZ","MMTG","TGZ","http://www.chiapas.aero/index.html","https://en.wikipedia.org/wiki/Angel_Albino_Corzo_International_Airport",
4757,"MMTJ","large_airport","General Abelardo L. Rodriguez International Airport","32,541043","-116,969976",489,"NA","MX","MX-BCN","Tijuana","yes","MMTJ","TIJ","MMTJ",,"http://aeropuertosgap.com.mx/english/airports/tijuana-airport","https://en.wikipedia.org/wiki/General_Abelardo_L._Rodr%C3%ADguez_International_Airport",
520012,"MMTL","medium_airport","Felipe Carrillo Puerto International Airport","20,172098","-87,660272",66,"NA","MX","MX-ROO","Tulum","yes","MMTL","TQO","MMTL",,"https://aitulum.com/en","https://en.wikipedia.org/wiki/Tulum_International_Airport",
4758,"MMTM","medium_airport","General Francisco Javier Mina International Airport","22,29640007","-97,86589813",80,"NA","MX","MX-TAM","Tampico","yes","MMTM","TAM","MMTM",,,"https://en.wikipedia.org/wiki/General_Francisco_Javier_Mina_International_Airport",
4760,"MMTO","medium_airport","Adolfo LÃ³pez Mateos International Airport","19,3369","-99,56583",8466,"NA","MX","MX-MEX","Toluca","yes","MMTO","TLC","MMTO",,,"https://en.wikipedia.org/wiki/Lic._Adolfo_L%C3%B3pez_Mateos_International_Airport","Aeropuerto Internacional Adolfo LÃ³pez Mateos"
4761,"MMTP","medium_airport","Tapachula International Airport","14,794549","-92,369871",97,"NA","MX","MX-CHP","Tapachula","yes","MMTP","TAP","MMTP",,"http://www.asur.com.mx/asur/Ingles/aeropuertos/tapachula/tapachula.asp","https://en.wikipedia.org/wiki/Tapachula_International_Airport","Aeropuerto Internacional de Tapachula"
4762,"MMUN","large_airport","CancÃºn International Airport","21,039444","-86,874304",22,"NA","MX","MX-ROO","CancÃºn","yes","MMUN","CUN","MMUN",,"http://www.asur.com.mx/asur/ingles/aeropuertos/cancun/cancun.asp","https://www.prioritypass.com/lounges/mexico/cancun-international",
4763,"MMVA","medium_airport","Carlos Rovirosa PÃ©rez International Airport","17,997","-92,817398",46,"NA","MX","MX-TAB","Villahermosa","yes","MMVA","VSA","MMVA",,,"https://en.wikipedia.org/wiki/Villahermosa_International_Airport","Villahermosa International Airport"
4764,"MMVR","medium_airport","General Heriberto Jara International Airport","19,14590073","-96,18730164",90,"NA","MX","MX-VER","Veracruz","yes","MMVR","VER","MMVR",,"http://www.asur.com.mx/asur/ingles/aeropuertos/veracruz/veracruz.asp","https://en.wikipedia.org/wiki/General_Heriberto_Jara_International_Airport",
4765,"MMZC","medium_airport","General Leobardo C. Ruiz International Airport","22,8971","-102,686996",7141,"NA","MX","MX-ZAC","Zacatecas","yes","MMZC","ZCL","MMZC",,"http://www.oma.aero/es/aeropuertos/zacatecas/","https://en.wikipedia.org/wiki/General_Leobardo_C._Ruiz_International_Airport","Zacatecas International Airport, Aeropuerto Internacional General Leobardo C. Ruiz"
4766,"MMZH","medium_airport","Ixtapa-Zihuatanejo International Airport","17,601771","-101,460629",26,"NA","MX","MX-GRO","Ixtapa","yes","MMZH","ZIH","MMZH",,,"https://en.wikipedia.org/wiki/Ixtapa-Zihuatanejo_International_Airport","Aeropuerto Internacional de Zihuatanejo"
